num,confd1,confd2,confd3,indvar1,indvar2,indvar3,indvar4,indvar5,indvar6,indvar7,,,,,,,,,,,
173,B,N,N,Y,N,Y,N,N,Y,Y,,,,,,,,,,,
174,B,N,Y,Y,Y,Y,N,N,N,Y,,,,,,,,,,,
175,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
176,D,Y,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
177,D,Y,N,Y,N,N,Y,Y,Y,Y,,,,,,,,,,,
178,D,Y,N,Y,N,Y,N,Y,Y,Y,,,,,,,,,,,
179,A,N,N,Y,Y,N,N,N,Y,N,,,,,,,,,,,
180,A,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
181,A,Y,N,Y,Y,N,N,Y,N,Y,,,,,,,,,,,
182,A,Y,N,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
